File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\FloatingToolbar.g.i.cs,124,87,43,5,22,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\HSBASliders.g.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\HSBASliders.g.i.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\HSLASliders.g.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\HSLASliders.g.i.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\MeasuringOverlay.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\MeasuringOverlay.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\QuickNoteWindow.g.cs,148,101,49,2,32,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\QuickNoteWindow.g.i.cs,148,101,49,2,32,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\RGBASliders.g.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\RGBASliders.g.i.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ScreenClippingOverlay.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ScreenClippingOverlay.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ThreeStateEnabledButton.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ThreeStateEnabledButton.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\Tool.g.i.cs,75,48,31,1,12,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ToolbarWindow.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\ToolbarWindow.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls\Tool_ToggleCursor.g.i.cs,112,75,40,2,22,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Properties\AssemblyInfo.cs,56,20,5,0,9,2,27,206,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,119,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,30,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars\ColorToolbar.cs,54,50,40,0,4,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars\ConversionToolbar.cs,53,47,37,0,3,0,3,11,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars\DrawToolbar.cs,95,88,68,2,5,0,2,8,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars\MeasureToolbar.cs,56,52,42,0,2,0,2,8,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars\NotesToolbar.cs,51,45,33,1,4,0,2,7,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ColorDisplay.xaml.cs,76,57,37,1,15,0,4,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Eyedropper.xaml.cs,111,86,58,2,22,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Sliders.xaml.cs,169,146,127,4,19,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Swatches.xaml.cs,183,150,109,7,24,0,9,39,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ValuesDisplay.xaml.cs,246,228,155,20,15,4,3,35,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ColorDisplay.xaml,33,32,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Eyedropper.xaml,10,9,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Sliders.xaml,27,26,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Swatches.xaml,20,19,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ValuesDisplay.xaml,96,94,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ColorDisplay.xaml.cs,76,57,37,1,15,0,4,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Eyedropper.xaml.cs,111,86,58,2,22,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Sliders.xaml.cs,169,146,127,4,19,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_Swatches.xaml.cs,183,150,109,7,24,0,9,39,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors\Colors_ValuesDisplay.xaml.cs,246,228,155,20,15,4,3,35,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Ascii.xaml.cs,141,118,88,7,16,0,7,20,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Bases.xaml.cs,284,264,152,28,16,4,4,32,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Calculator.xaml.cs,60,46,30,0,11,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Unicode.xaml.cs,57,41,25,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Units.xaml.cs,61,46,30,0,11,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_UnitsInner.xaml.cs,115,96,66,5,16,1,3,14,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Ascii.xaml,93,92,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Bases.xaml,47,46,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Calculator.xaml,16,15,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Unicode.xaml,66,65,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Units.xaml,17,16,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_UnitsInner.xaml,32,31,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Ascii.xaml.cs,141,118,88,7,16,0,7,20,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Bases.xaml.cs,284,264,152,28,16,4,4,32,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Calculator.xaml.cs,60,46,30,0,11,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Unicode.xaml.cs,57,41,25,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_Units.xaml.cs,61,46,30,0,11,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion\Conversion_UnitsInner.xaml.cs,115,96,66,5,16,1,3,14,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Clear.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_DynamicRenderer.cs,210,191,139,14,15,0,4,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Eraser.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_FillSelect.xaml.cs,129,109,77,6,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Highlighter.xaml.cs,58,42,26,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_InkCanvas.cs,142,124,86,7,14,0,4,27,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Lines.xaml.cs,133,118,80,5,12,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Overlay.xaml.cs,434,383,287,5,48,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Pen.xaml.cs,70,50,30,0,15,0,5,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_ReturnCursor.xaml.cs,58,42,26,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Save.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Shapes.xaml.cs,115,98,68,3,14,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Stroke.cs,170,164,123,15,6,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeSelect.xaml.cs,108,89,67,0,16,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeWeight.xaml.cs,89,74,54,0,11,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Text.xaml.cs,71,50,30,0,18,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Clear.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Eraser.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_FillSelect.xaml,47,46,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Highlighter.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Lines.xaml,61,60,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Overlay.xaml,14,13,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Pen.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_ReturnCursor.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Save.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Shapes.xaml,45,44,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeSelect.xaml,47,47,0,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeWeight.xaml,35,34,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Text.xaml,11,10,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Clear.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Eraser.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_FillSelect.xaml.cs,129,109,77,6,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Highlighter.xaml.cs,58,42,26,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Lines.xaml.cs,133,118,80,5,12,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Overlay.xaml.cs,434,383,287,5,48,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Pen.xaml.cs,70,50,30,0,15,0,5,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_ReturnCursor.xaml.cs,58,42,26,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Save.xaml.cs,70,50,30,0,17,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Shapes.xaml.cs,115,98,68,3,14,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeSelect.xaml.cs,108,89,67,0,16,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_StrokeWeight.xaml.cs,89,74,54,0,11,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing\Drawing_Text.xaml.cs,71,50,30,0,18,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_BoxSelector.xaml.cs,92,76,60,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_GridDisplay.xaml.cs,210,182,120,14,23,2,5,26,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_HorizontalRuler.xaml.cs,79,61,39,1,15,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_MouseCoords.xaml.cs,164,131,78,3,29,0,4,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_VerticalRuler.xaml.cs,79,61,39,1,15,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_BoxSelector.xaml,58,57,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_GridDisplay.xaml,70,69,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_HorizontalRuler.xaml,11,11,0,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_MouseCoords.xaml,29,28,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_VerticalRuler.xaml,12,11,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_BoxSelector.xaml.cs,92,76,60,0,13,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_GridDisplay.xaml.cs,210,182,120,14,23,2,5,26,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_HorizontalRuler.xaml.cs,79,61,39,1,15,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_MouseCoords.xaml.cs,164,131,78,3,29,0,4,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure\Measure_VerticalRuler.xaml.cs,79,61,39,1,15,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_Clipboard.xaml.cs,60,48,32,0,9,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ClipboardInner.xaml.cs,199,182,124,12,11,0,6,18,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_QuickNotes.xaml.cs,146,125,81,6,18,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ScreenClipping.xaml.cs,124,102,66,6,18,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_Clipboard.xaml,17,16,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ClipboardInner.xaml,43,42,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_QuickNotes.xaml,45,44,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ScreenClipping.xaml,10,9,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_Clipboard.xaml.cs,60,48,32,0,9,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ClipboardInner.xaml.cs,199,182,124,12,11,0,6,18,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_QuickNotes.xaml.cs,146,125,81,6,18,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes\Notes_ScreenClipping.xaml.cs,124,102,66,6,18,0,4,12,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ActiveInactiveImageButton.xaml.cs,86,66,48,1,5,0,15,51,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Expandable.xaml.cs,288,226,149,21,26,0,36,99,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Toggle.xaml.cs,57,47,33,0,6,0,4,13,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\Calculator.xaml.cs,145,136,78,15,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ClipboardDataObjectDisplay.xaml.cs,198,180,118,10,8,4,10,50,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EnabledSymbolButton.xaml.cs,44,39,27,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EyeDropOverlay.xaml.cs,59,50,34,1,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingSelectionBox.xaml.cs,113,94,60,0,13,0,6,41,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingToolbar.xaml.cs,265,223,155,16,36,0,6,18,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSBASliders.xaml.cs,72,61,50,0,8,1,3,11,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSLASliders.xaml.cs,70,61,50,0,6,1,3,11,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\MeasuringOverlay.xaml.cs,265,239,171,9,22,0,4,10,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\OrientableListBox.cs,41,36,24,0,5,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\OrientableUniformGrid.cs,48,45,29,0,3,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\QuickNoteWindow.xaml.cs,90,77,53,0,10,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\RGBASliders.xaml.cs,46,37,27,0,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ScreenClippingOverlay.xaml.cs,48,41,31,0,4,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ThreeStateEnabledButton.xaml.cs,61,56,44,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ToolbarWindow.xaml.cs,92,83,61,0,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ActiveInactiveImageButton.xaml,50,48,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Expandable.xaml,31,30,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Toggle.xaml,60,59,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\Calculator.xaml,143,142,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ClipboardDataObjectDisplay.xaml,17,16,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EnabledSymbolButton.xaml,57,56,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EyeDropOverlay.xaml,16,14,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingSelectionBox.xaml,187,183,0,0,4,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingToolbar.xaml,237,237,0,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSBASliders.xaml,85,84,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSLASliders.xaml,85,83,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\MeasuringOverlay.xaml,12,10,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\QuickNoteWindow.xaml,47,46,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\RGBASliders.xaml,86,83,0,0,3,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ScreenClippingOverlay.xaml,14,12,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ThreeStateEnabledButton.xaml,31,30,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ToolbarWindow.xaml,16,15,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ActiveInactiveImageButton.xaml.cs,86,66,48,1,5,0,15,51,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Expandable.xaml.cs,288,226,149,21,26,0,36,99,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\BaseTool_Toggle.xaml.cs,57,47,33,0,6,0,4,13,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\Calculator.xaml.cs,145,136,78,15,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ClipboardDataObjectDisplay.xaml.cs,198,180,118,10,8,4,10,50,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EnabledSymbolButton.xaml.cs,44,39,27,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\EyeDropOverlay.xaml.cs,59,50,34,1,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingSelectionBox.xaml.cs,113,94,60,0,13,0,6,41,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\FloatingToolbar.xaml.cs,265,223,155,16,36,0,6,18,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSBASliders.xaml.cs,72,61,50,0,8,1,3,11,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\HSLASliders.xaml.cs,70,61,50,0,6,1,3,11,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\MeasuringOverlay.xaml.cs,265,239,171,9,22,0,4,10,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\QuickNoteWindow.xaml.cs,90,77,53,0,10,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\RGBASliders.xaml.cs,46,37,27,0,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ScreenClippingOverlay.xaml.cs,48,41,31,0,4,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ThreeStateEnabledButton.xaml.cs,61,56,44,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls\ToolbarWindow.xaml.cs,92,83,61,0,6,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Win32API\DBIConverter.cs,118,105,73,7,13,1,0,1,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Win32API\GDITools.cs,39,29,14,0,10,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Win32API\Win32Tools.cs,158,124,62,1,34,9,0,112,0,0
