File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\Models\ToolbarIcon.cs,38,35,23,1,3,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Models\ToolbarIconCommandButtons.cs,96,90,64,0,6,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Models\WindowResizer.cs,174,144,86,24,25,0,5,15,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\App.g.cs,84,52,35,1,14,0,18,50,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\App.g.i.cs,84,52,35,1,14,0,18,50,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,66,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,66,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\LauncherWindow.g.cs,117,79,42,2,23,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\LauncherWindow.g.i.cs,117,79,42,2,23,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\MainWindow.g.i.cs,151,103,50,2,33,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TestControl.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TestControl.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TestProject_Content.g.i.cs,14,2,0,0,4,1,8,30,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TestWindow1.g.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TestWindow1.g.i.cs,89,59,35,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\TIM_Content.g.i.cs,14,2,0,0,4,1,8,30,0,1
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors_ColorDisplay.g.i.cs,128,87,45,2,26,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors_Eyedropper.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors_Sliders.g.i.cs,105,72,40,3,18,0,15,42,0,0
